ÁLMOMBAN	VIZSGÁZNI
harmattal	élni
élni	nem
nem	lehet
lehet	,
,	muszáj
muszáj	eltûnõdni
eltûnõdni	,
,	megkeresni
megkeresni	a
a	magyarázatot
magyarázatot	,
,	hogy
hogy	mibõl
mibõl	van
van	vasárnapi
vasárnapi	ebédjük
ebédjük	,
,	honnan
honnan	szerzik
szerzik	az
az	ünneplõt
ünneplõt	,
,	amiben
amiben	vasárnaponként
vasárnaponként	megjelennek
megjelennek	a
a	templomban
templomban	,
,	amiben
amiben	kiülnek
kiülnek	az
az	utcai
utcai	padokra
padokra	az
az	ünnepek
ünnepek	délutánjain
délutánjain	.
.	Hadd
Hadd	hozzam
hozzam	föl
föl	példának
példának	szüleimet
szüleimet	,
,	két
két	öreget
öreget	,
,	akiknek
akiknek	mind
mind	a
a	négy
négy	gyereke
gyereke	városban
városban	él
él	.
.	Jövedelmük
Jövedelmük	fõ
fõ	forrása
forrása	1959
1959	óta
óta	megmaradt
megmaradt	értékeik
értékeik	kiárusítása
kiárusítása	volt
volt	,
,	a
a	szövetkezetbe
szövetkezetbe	adott
adott	lovukért
lovukért	kaptak
kaptak	pár
pár	ezer
ezer	forintot
forintot	:
:	aztán
aztán	a
a	még
még	szövetkezetesítés
szövetkezetesítés	elõtt
elõtt	hizlalni
hizlalni	kezdett
kezdett	ökörtinót
ökörtinót	adták
adták	el
el	,
,	aztán
aztán	a
a	tehenet
tehenet	,
,	mert
mert	egyévi
egyévi	tartása
tartása	elérte
elérte	azt
azt	a
a	jövedelmet
jövedelmet	,
,	amit
amit	a
a	téesz
téesz	juttatott
juttatott	nekik
nekik	;
;	majd
majd	a
a	kert
kert	alatti
alatti	nyárfákra
nyárfákra	kerestek
kerestek	vevõket
vevõket	,
,	késõbb
késõbb	a
a	lebontott
lebontott	pajta
pajta	léceire
léceire	és
és	gerendázatára
gerendázatára	s
s	a
a	lebontott
lebontott	istálló
istálló	,
,	kocsiszín
kocsiszín	tetõzetére
tetõzetére	,
,	cserepeire
cserepeire	.
.	Ezek
Ezek	a
a	pénzforrások
pénzforrások	,
,	kiegészítve
kiegészítve	a
a	földjáradékkal
földjáradékkal	,
,	a
a	téesznyugdíjjal
téesznyugdíjjal	,
,	a
a	háztáji
háztáji	földön
földön	termett
termett	kukorica
kukorica	,
,	krumpli
krumpli	,
,	zöldségek
zöldségek	értékével
értékével	,
,	lehetségessé
lehetségessé	tették
tették	,
,	hogy
hogy	a
a	maguk
maguk	erejébõl
erejébõl	éljenek
éljenek	,
,	s
s	egyelõre
egyelõre	még
még	nyugalmasabban
nyugalmasabban	,
,	mert
mert	kevesebb
kevesebb	munkával
munkával	,
,	mint
mint	gazdálkodó
gazdálkodó	korukban
korukban	.
.	Ruházkodásuk
Ruházkodásuk	nagyrészt
nagyrészt	lányaikról
lányaikról	és
és	fiaikról
fiaikról	levetett
levetett	holmik
holmik	,
,	kis
kis	átalakítással
átalakítással	megfelelnek
megfelelnek	a
a	munkához
munkához	,
,	a
a	kevésbé
kevésbé	vásottak
vásottak	ünnepre
ünnepre	is
is	.
.	Kisebb-nagyobb
Kisebb-nagyobb	mértékben
mértékben	az
az	öreg
öreg	családoknál
családoknál	mindenütt
mindenütt	az
az	efféle
efféle	"
"	önfelélés
önfelélés	"
"	folyik
folyik	,
,	s
s	ahol
ahol	már
már	a
a	tartalékok
tartalékok	is
is	kimerültek
kimerültek	,
,	segítenek
segítenek	a
a	távol
távol	élõ
élõ	gyerekek
gyerekek	pénzzel
pénzzel	,
,	ruhával
ruhával	,
,	mert
mert	nincs
nincs	olyan
olyan	magára
magára	hagyott
hagyott	öreg
öreg	házaspár
házaspár	vagy
vagy	özvegyember
özvegyember	,
,	akinek
akinek	valakije
valakije	ne
ne	lenne
lenne	Pesten
Pesten	,
,	Ajkán
Ajkán	vagy
vagy	Veszprémben
Veszprémben	.
.	Az
Az	a
a	különös
különös	helyzet
helyzet	állt
állt	elõ
elõ	,
,	hogy
hogy	a
a	falu
falu	lakosságának
lakosságának	egyharmada
egyharmada	szorul
szorul	rá
rá	teljesen
teljesen	a
a	földre
földre	;
;	a
a	szövetkezet
szövetkezet	terméseredménye
terméseredménye	,
,	osztaléka
osztaléka	a
a	falu
falu	lakosságának
lakosságának	egyharmadát
egyharmadát	érinti
érinti	igazán
igazán	,
,	mégis
mégis	a
a	közösség
közösség	egészét
egészét	foglalkoztatja
foglalkoztatja	,
,	s
s	közérzetét
közérzetét	elsõsorban
elsõsorban	a
a	szövetkezet
szövetkezet	sorsa
sorsa	befolyásolja
befolyásolja	,
,	mert
mert	érzelmében
érzelmében	még
még	mindig
mindig	paraszt
paraszt	az
az	is
is	,
,	aki
aki	útépítésen
útépítésen	vagy
vagy	bányában
bányában	dolgozik
dolgozik	,
,	s
s	ha
ha	jobbra
jobbra	fordulnának
fordulnának	az
az	otthoni
otthoni	lehetõségek
lehetõségek	,
,	hazajönnének
hazajönnének	.
.	Néha
Néha	meghökkentõ
meghökkentõ	dolgok
dolgok	történnek
történnek	szemük
szemük	elõtt
elõtt	,
,	amelyek
amelyek	ha
ha	létüket
létüket	nem
nem	is
is	érintik
érintik	már
már	,
,	mégsem
mégsem	hagyják
hagyják	õket
õket	érintetlenül
érintetlenül	:
:	fölépíttetnek
fölépíttetnek	egy
egy	3000
3000	férõhelyes
férõhelyes	baromfiólat
baromfiólat	34_800
34_800	forintért
forintért	,
,	egyévi
egyévi	használás
használás	után
után	kijelentik
kijelentik	,
,	hogy
hogy	a
a	nagyüzemi
nagyüzemi	baromfinevelés
baromfinevelés	nem
nem	gazdaságos
gazdaságos	itt
itt	;
;	10
10	kilométeres
kilométeres	árokrendszert
árokrendszert	ásatnak
ásatnak	a
a	lapos
lapos	területeken
területeken	1_564_000
1_564_000	forintért
forintért	,
,	de
de	elfelejtik
elfelejtik	az
az	árok
árok	két
két	oldaláról
oldaláról	a
a	földhányást
földhányást	szétteríteni
szétteríteni	vagy
vagy	átvágni
átvágni	,
,	hogy
hogy	a
a	belvíz
belvíz	az
az	árokba
árokba	folyhasson
folyhasson	,
,	az
az	1964-es
1964-es	és
és	az
az	1965-ös
1965-ös	év
év	termése
termése	emiatt
emiatt	a
a	belvízkárok
belvízkárok	miatt
miatt	bukott
bukott	meg
meg	,
,	s
s	fizettek
fizettek	15
15	,
,	38
38	Ft
Ft	és
és	19
19	,
,	59
59	Ft
Ft	munkaegység-részesedést
munkaegység-részesedést	.
.	A
A	szövetkezet
szövetkezet	harmad-negyedleges
harmad-negyedleges	megélhetési
megélhetési	lehetõséggé
lehetõséggé	vált
vált	,
,	az
az	ipari
ipari	munka
munka	havibére
havibére	,
,	a
a	háztájira
háztájira	összpontosított
összpontosított	,
,	szinte
szinte	a
a	négyzetcentimétereket
négyzetcentimétereket	is
is	kihasználó
kihasználó	termelés
termelés	,
,	a
a	téesznyugdíj
téesznyugdíj	,
,	a
a	fölöslegessé
fölöslegessé	vált
vált	értékek
értékek	fölszámolása
fölszámolása	után
után	.
.	A
A	falu
falu	740
740	lakosából
lakosából	csupán
csupán	130-140
130-140	embernek
embernek	ad
ad	munkát
munkát	,
,	s
s	azokból
azokból	is
is	csupán
csupán	a
a	felének
felének	kizárólagos
kizárólagos	jövedelmet
jövedelmet	,
,	mert
mert	a
a	többi
többi	tag
tag	családjából
családjából	az
az	iparban
iparban	dolgozik
dolgozik	valaki
valaki	.
.	Ezért
Ezért	nem
nem	keverednek
keverednek	ki
ki	a
a	bajokból
bajokból	,
,	nem
nem	adnak
adnak	bele
bele	nagyobb
nagyobb	energiát
energiát	,
,	távol
távol	áll
áll	tõlük
tõlük	az
az	a
a	dinamizmus
dinamizmus	,
,	mellyel
mellyel	megpróbálnának
megpróbálnának	kilábalni
kilábalni	a
a	jelenlegi
jelenlegi	állapotokból
állapotokból	.
.	Az
Az	50-es
50-es	évek
évek	végén
végén	a
a	hangulatteremtõ
hangulatteremtõ	szavak
szavak	szerint
szerint	könnyebb
könnyebb	élet
élet	,
,	több
több	szabad
szabad	idõ
idõ	,
,	a
a	föld
föld	nyûgétõl
nyûgétõl	felszabadulás
felszabadulás	vár
vár	majd
majd	a
a	falu
falu	népére
népére	.
.	Ez
Ez	a
a	propaganda
propaganda	nem
nem	maradt
maradt	hatástalan
hatástalan	,
,	hiszen
hiszen	a
a	téeszszervezés
téeszszervezés	egy-két
egy-két	drasztikusabb
drasztikusabb	esettõl
esettõl	eltekintve
eltekintve	könnyen
könnyen	,
,	néhány
néhány	nap
nap	alatt
alatt	befejezõdött
befejezõdött	,
,	tehát
tehát	ha
ha	még
még	nem
nem	is
is	akarták
akarták	beismerni
beismerni	,
,	jobbat
jobbat	vártak
vártak	az
az	új
új	helyzettõl
helyzettõl	.
.	Ha
Ha	látszólagos
látszólagos	megkönnyebbülést
megkönnyebbülést	adott
adott	,
,	hát
hát	azt
azt	,
,	hogy
hogy	a
a	régi
régi	gazdálkodási
gazdálkodási	gondokat
gondokat	levette
levette	a
a	parasztok
parasztok	többségének
többségének	a
a	válláról
válláról	,
,	nem
nem	kellett
kellett	gondolkodni
gondolkodni	,
,	töprengeni
töprengeni	,
,	csak
csak	végrehajtani
végrehajtani	,
,	bár
bár	az
az	igazi
igazi	földmûveseknek
földmûveseknek	ez
ez	inkább
inkább	jelentett
jelentett	megfosztottságot
megfosztottságot	,
,	hiányérzetet
hiányérzetet	,
,	mint
mint	megkönnyebbülést
megkönnyebbülést	.
.	Annak
Annak	ellenére
ellenére	,
,	hogy
hogy	a
a	felsõbb
felsõbb	szervek
szervek	sokat
sokat	foglalkoztak
foglalkoztak	a
a	szövetkezet
szövetkezet	ügyével
ügyével	,
,	anyagilag
anyagilag	sem
sem	hagyták
hagyták	magára
magára	,
,	s
s	lelki
lelki	és
és	politikai
politikai	bizonytalanságuk
bizonytalanságuk	könnyítésére
könnyítésére	az
az	elsõ
elsõ	évben
évben	még
még	egy
egy	patronálót
patronálót	is
is	küldtek
küldtek	ki
ki	,
,	akinek
akinek	olyan
olyan	feladata
feladata	lett
lett	volna
volna	,
,	mint
mint	a
a	katonaságnál
katonaságnál	a
a	politikai
politikai	tisztnek
tisztnek	,
,	sajnos
sajnos	többet
többet	törõdött
törõdött	az
az	itallal
itallal	és
és	a
a	nõkkel
nõkkel	,
,	mint
mint	megbízatásával
megbízatásával	,
,	végül
végül	egy
egy	házasságon
házasságon	kívüli
kívüli	gyereket
gyereket	hagyott
hagyott	maga
maga	után
után	.
.	Az
Az	emberek
emberek	magukra
magukra	maradtak
maradtak	,
,	s
s	az
az	elsõ
elsõ	két
két	év
év	,
,	mint
mint	egy
egy	rendkívüli
rendkívüli	állapot
állapot	,
,	meglepõ
meglepõ	viselkedést
viselkedést	és
és	lelki
lelki	torzulást
torzulást	és
és	megtisztulást
megtisztulást	hozott
hozott	magával
magával	.
.	Az
Az	egész
egész	életében
életében	becsületes
becsületes	gazda
gazda	,
,	aki
aki	magasabb
magasabb	funkciót
funkciót	töltött
töltött	be
be	éppen
éppen	a
a	nép
nép	bizalma
bizalma	miatt
miatt	,
,	hirtelen
hirtelen	vaddá
vaddá	,
,	türelmetlenné
türelmetlenné	változott
változott	,
,	és
és	inni
inni	kezdett
kezdett	.
.	Másban
Másban	meg
meg	valami
valami	hatalmi
hatalmi	gõg
gõg	lett
lett	úrrá
úrrá	,
,	kocsisi
kocsisi	minõsége
minõsége	magasából
magasából	ostort
ostort	pattogtatva
pattogtatva	rendelkezett
rendelkezett	,
,	sürgetett
sürgetett	s
s	vágtatott
vágtatott	végig
végig	a
a	mezõn
mezõn	.
.	A
A	harmadik
harmadik	,
,	több
több	gyerekes
gyerekes	apa
apa	,
,	kétségbeesett
kétségbeesett	szorgalommal
szorgalommal	dolgozott
dolgozott	,
,	szinte
szinte	a
a	kifulladásig
kifulladásig	hajtotta
hajtotta	magát
magát	,
,	a
a	napi
napi	norma
norma	teljesítésének
teljesítésének	lázában
lázában	égve
égve	,
,	s
s	így
így	lett
lett	akaratlanul
akaratlanul	olyan
olyan	dolgozóvá
dolgozóvá	,
,	aki
aki	a
a	téesz
téesz	ügyét
ügyét	csüggedésben
csüggedésben	és
és	a
a	félvállról
félvállról	vett
vett	dolgoztatásban
dolgoztatásban	példaadóan
példaadóan	képviselte
képviselte	.
.	Többen
Többen	az
az	idõsebbek
idõsebbek	közül
közül	egészségben
egészségben	leromlottak
leromlottak	,
,	s
s	nemcsak
nemcsak	az
az	ingyenes
ingyenes	orvosi
orvosi	ellátás
ellátás	volt
volt	az
az	oka
oka	,
,	hogy
hogy	a
a	rendelõintézetet
rendelõintézetet	annyian
annyian	látogatták
látogatták	:
:	magas
magas	vérnyomás
vérnyomás	,
,	asztma
asztma	,
,	idegi
idegi	zavarok
zavarok	s
s	általában
általában	az
az	egészség
egészség	a
a	szövetkezet
szövetkezet	ügye
ügye	mellett
mellett	mindennapi
mindennapi	beszédtémává
beszédtémává	vált
vált	.
.	Volt
Volt	olyan
olyan	,
,	aki
aki	brigádvezetõi
brigádvezetõi	megbízása
megbízása	jogán
jogán	bokorba
bokorba	rejtõzködve
rejtõzködve	leste
leste	,
,	mikor
mikor	tömnek
tömnek	meg
meg	egy
egy	szalmazsákot
szalmazsákot	a
a	téesz
téesz	kazlaiból
kazlaiból	,
,	s
s	mikor
mikor	csíphet
csíphet	el
el	egy
egy	partot
partot	kaszáló
kaszáló	öregembert
öregembert	.
.	A
A	barátsági
barátsági	és
és	jószomszédsági
jószomszédsági	kapcsolatok
kapcsolatok	hirtelen
hirtelen	szétszakadhattak
szétszakadhattak	,
,	ha
ha	a
a	gyanakvás
gyanakvás	okot
okot	szolgáltatott
szolgáltatott	rá
rá	,
,	hogy
hogy	valaki
valaki	elõnyösebb
elõnyösebb	helyzetbe
helyzetbe	került
került	.
.	Még
Még	a
a	260
260	Ft-os
Ft-os	havi
havi	juttatást
juttatást	is
is	irigyelték
irigyelték	az
az	idõsebbektõl
idõsebbektõl	;
;	a
a	földjáradék
földjáradék	ellen
ellen	pöröltek
pöröltek	azok
azok	,
,	akik
akik	kevesebb
kevesebb	földet
földet	vittek
vittek	be
be	.
.	Kíváncsian
Kíváncsian	figyelték
figyelték	a
a	vezetõk
vezetõk	rokonait
rokonait	,
,	nincsen
nincsen	-e
-e	valami
valami	rokoni
rokoni	összejátszás
összejátszás	.
.	Ebbõl
Ebbõl	a
a	lelki
lelki	magárahagyottságból
magárahagyottságból	,
,	rossz
rossz	közérzetbõl
közérzetbõl	,
,	anyagi
anyagi	szegénységbõl
szegénységbõl	nyílottak
nyílottak	azután
azután	azok
azok	a
a	kijáratok
kijáratok	:
:	elvándorlás
elvándorlás	,
,	a
a	föld
föld	lenézése
lenézése	,
,	sok
sok	esetben
esetben	utálata
utálata	,
,	túlzott
túlzott	szeszfogyasztás
szeszfogyasztás	,
,	öreges
öreges	közhangulat
közhangulat	,
,	változás
változás	iránti
iránti	nosztalgiák
nosztalgiák	,
,	amelyek
amelyek	a
a	mai
mai	állapotot
állapotot	jellemzik
jellemzik	.
.	Talán
Talán	az
az	anyagias
anyagias	világfelfogásuk
világfelfogásuk	mentette
mentette	meg
meg	õket
õket	a
a	vallástól
vallástól	,
,	s
s	ebbõl
ebbõl	az
az	állapotból
állapotból	segíthette
segíthette	volna
volna	õket
õket	kivezetni
kivezetni	a
a	helyes
helyes	irányban
irányban	a
a	jól
jól	szervezett
szervezett	kulturális
kulturális	szolgáltatás
szolgáltatás	,
,	ha
ha	észreveszi
észreveszi	legfontosabb
legfontosabb	feladatát
feladatát	,
,	a
a	közösséggé
közösséggé	kovácsolást
kovácsolást	,
,	a
a	rendszeres
rendszeres	szellemi
szellemi	foglalkoztatottságot
foglalkoztatottságot	,
,	s
s	ha
ha	hozzá
hozzá	tudott
tudott	volna
volna	férkõzni
férkõzni	ahhoz
ahhoz	a
a	kevés
kevés	szabad
szabad	idõhöz
idõhöz	,
,	amivel
amivel	a
a	téesztagok
téesztagok	és
és	a
a	bejáró
bejáró	munkások
munkások	rendelkeznek
rendelkeznek	,
,	ha
ha	hozzá
hozzá	tudott
tudott	volna
volna	férkõzni
férkõzni	a
a	vasárnapokhoz
vasárnapokhoz	.
.	Az
Az	1949-es
1949-es	népszámlálás
népszámlálás	óta
óta	a
a	falu
falu	lakossága
lakossága	mintegy
mintegy	300
300	fõvel
fõvel	fogyott
fogyott	.
.	Minthogy
Minthogy	a
a	születés
születés	és
és	a
a	halálozás
halálozás	egyensúlyban
egyensúlyban	volt
volt	,
,	ez
ez	a
a	300
300	ember
ember	más
más	helységekben
helységekben	telepedett
telepedett	le
le	,
,	elsõsorban
elsõsorban	Pesten
Pesten	.
.	A
A	búcsúk
búcsúk	alkalmával
alkalmával	döbben
döbben	meg
meg	az
az	ember
ember	,
,	micsoda
micsoda	egészségtelen
egészségtelen	menekülés
menekülés	volt
volt	innen
innen	,
,	sokszor
sokszor	a
a	rosszabba
rosszabba	,
,	a
a	bizonytalanba
bizonytalanba	,
,	az
az	ipar
ipar	,
,	az
az	altiszti
altiszti	élet
élet	amerikája
amerikája	felé
felé	.
.	A
A	jelenlegi
jelenlegi	VIII.
VIII.	osztályos
osztályos	gyerekek
gyerekek	pályaválasztási
pályaválasztási	szándékai
szándékai	ugyanezt
ugyanezt	a
a	folyamatot
folyamatot	tanúsítják
tanúsítják	,
,	egyetlenegy
egyetlenegy	sincs
sincs	,
,	aki
aki	mezõgazdasággal
mezõgazdasággal	kapcsolatos
kapcsolatos	pályát
pályát	választana
választana	a
a	16
16	közül
közül	.
.	(
(	Hárman
Hárman	jelentkeztek
jelentkeztek	gimnáziumba
gimnáziumba	,
,	1
1	postatechnikumba
postatechnikumba	,
,	1
1	gépipari
gépipari	technikumba
technikumba	,
,	1
1	gyors
gyors	-
-	és
és	gépíró
gépíró	iskolába
iskolába	,
,	2
2	pedig
pedig	varróiskolába
varróiskolába	.
.	)
)	A
A	megkérdezett
megkérdezett	VII-VIII.-os
VII-VIII.-os	gyerekek
gyerekek	nagy
nagy	része
része	ipari
ipari	és
és	kereskedelmi
kereskedelmi	pályán
pályán	szeretne
szeretne	elhelyezkedni
elhelyezkedni	,
,	olyan
olyan	pályákon
pályákon	,
,	amelyek
amelyek	könnyebb
könnyebb	munkával
munkával	biztosítják
biztosítják	a
a	megélhetést
megélhetést	;
;	cukrászok
cukrászok	,
,	boltosok
boltosok	,
,	fodrászok
fodrászok	szeretnének
szeretnének	lenni
lenni	,
,	vagy
vagy	jó
jó	pénzt
pénzt	keresõ
keresõ	autószerelõk
autószerelõk	.
.	Az
Az	értelmiségi
értelmiségi	pályának
pályának	kevés
kevés	sikere
sikere	van
van	körükben
körükben	,
,	a
a	pedagógusi
pedagógusi	munka
munka	kivételével
kivételével	,
,	bár
bár	szerintem
szerintem	legtöbbjüknél
legtöbbjüknél	a
a	tanáraik
tanáraik	iránti
iránti	tisztelettel
tisztelettel	magyarázható
magyarázható	a
a	pedagógusi
pedagógusi	pálya
pálya	népszerûsége
népszerûsége	.
.	Ezek
Ezek	a
a	gyerekek
gyerekek	korukhoz
korukhoz	képest
képest	bosszantóan
bosszantóan	realisták
realisták	,
,	nemcsak
nemcsak	azért
azért	,
,	mert
mert	már
már	gyerekfejjel
gyerekfejjel	tudják
tudják	,
,	hogy
hogy	most
most	mezõgazdasággal
mezõgazdasággal	foglalkozni
foglalkozni	nem
nem	érdemes
érdemes	,
,	de
de	azért
azért	is
is	,
,	mert
mert	nincsenek
nincsenek	reményeik
reményeik	olyan
olyan	értelmiségi
értelmiségi	pályák
pályák	iránt
iránt	,
,	mint
mint	nekünk
nekünk	voltak
voltak	.
.	Az
Az	én
én	nemzedékembõl
nemzedékembõl	öten
öten	végeztünk
végeztünk	egyetemet
egyetemet	,
,	2
2	építészmérnök
építészmérnök	,
,	1
1	gépész
gépész	,
,	1
1	vegyész
vegyész	,
,	1
1	tanár
tanár	lett
lett	,
,	osztályomból
osztályomból	csak
csak	két
két	lány
lány	nem
nem	tanult
tanult	tovább
tovább	,
,	12-õnk
12-õnk	közül
közül	10-en
10-en	érettségiztünk
érettségiztünk	.
.	A
A	mai
mai	gyerekek
gyerekek	többsége
többsége	városban
városban	szeretne
szeretne	lakni
lakni	:
:	"
"	nem
nem	szeretem
szeretem	a
a	falusi
falusi	embereket
embereket	"
"	,
,	"
"	én
én	a
a	faluban
faluban	nem
nem	szeretnék
szeretnék	lakni
lakni	,
,	mert
mert	amilyen
amilyen	pályát
pályát	választottam
választottam	,
,	az
az	városban
városban	van
van	"
"	,
,	"
"	nem
nem	szeretnék
szeretnék	itt
itt	dolgozni
dolgozni	,
,	mert
mert	nincs
nincs	lehetõség
lehetõség	"
"	,
,	"
"	én
én	városban
városban	szeretnék
szeretnék	lakni
lakni	,
,	de
de	nem
nem	bent
bent	a
a	központban
központban	,
,	hanem
hanem	a
a	város
város	szélén
szélén	,
,	mert
mert	ott
ott	van
van	kert
kert	és
és	gyümölcsös
gyümölcsös	"
"	-
-	így
így	fogalmazták
fogalmazták	meg
meg	legtöbben
legtöbben	,
,	s
s	az
az	olyan
olyan	kevés
kevés	faluhoz
faluhoz	ragaszkodó
ragaszkodó	megnyilvánulás
megnyilvánulás	,
,	mint
mint	"
"	itt
itt	szeretnék
szeretnék	élni
élni	,
,	mert
mert	itt
itt	laknak
laknak	a
a	szüleim
szüleim	"
"	,
,	vagy
vagy	"
"	falun
falun	szeretnék
szeretnék	élni
élni	,
,	mert
mert	lassan
lassan	a
a	falu
falu	eléri
eléri	a
a	várost
várost	"
"	,
,	legtöbbször
legtöbbször	ellentmondásban
ellentmondásban	van
van	a
a	gyerek
gyerek	pályaválasztási
pályaválasztási	szándékával
szándékával	,
,	inkább
inkább	sokat
sokat	hallott
hallott	formula
formula	vagy
vagy	az
az	élet
élet	tényeitõl
tényeitõl	még
még	nem
nem	befolyásolt
befolyásolt	szeretet
szeretet	kifejezése
kifejezése	.
.	A
A	faluban
faluban	levõ
levõ	fiatalság
fiatalság	néhány
néhány	kivételtõl
kivételtõl	eltekintve
eltekintve	iparban
iparban	dolgozik
dolgozik	.
.	Mindegyik
Mindegyik	olyan
olyan	,
,	aki
aki	ha
ha	egyéni
egyéni	gazdálkodás
gazdálkodás	lenne
lenne	,
,	szüleinek
szüleinek	segítene
segítene	a
a	földön
földön	,
,	hogy
hogy	késõbb
késõbb	megnõsüljön
megnõsüljön	és
és	örököljön
örököljön	,
,	a
a	nemzedékrõl
nemzedékrõl	nemzedékre
nemzedékre	szálló
szálló	földet
földet	és
és	szerszámokat
szerszámokat	vegye
vegye	át
át	a
a	múlt
múlt	törvényei
törvényei	szerint
szerint	.
.	Ez
Ez	a
a	réteg
réteg	az
az	1952
1952	elõtti
elõtti	nyolc
nyolc	általánost
általánost	sem
sem	végzett
végzett	korosztályhoz
korosztályhoz	tartozik
tartozik	többségben
többségben	.
.	Az
Az	elsõ
elsõ	csoport
csoport	,
,	amelyik
amelyik	elvégezte
elvégezte	az
az	általános
általános	iskola
iskola	nyolc
nyolc	osztályát
osztályát	,
,	1952-ben
1952-ben	került
került	ki
ki	.
.	Úgy
Úgy	látszik
látszik	,
,	az
az	általános
általános	iskola
iskola	elvégzése
elvégzése	predesztinált
predesztinált	a
a	továbblépésre
továbblépésre	,
,	a
a	továbbtanulásra
továbbtanulásra	,
,	az
az	elszakadásra
elszakadásra	,
,	a
a	befejezetlen
befejezetlen	alapiskolázottság
alapiskolázottság	pedig
pedig	megkötött
megkötött	,
,	helyben
helyben	marasztott
marasztott	addig
addig	,
,	amíg
amíg	szükség
szükség	volt
volt	otthon
otthon	a
a	munkaerõre
munkaerõre	;
;	s
s	amikor
amikor	érdektelenné
érdektelenné	vált
vált	az
az	otthoni
otthoni	élet
élet	,
,	csak
csak	akkor
akkor	hagyta
hagyta	el
el	a
a	falut
falut	az
az	ifjúságnak
ifjúságnak	ez
ez	a
a	része
része	a
a	jó
jó	munkabíró
munkabíró	középkorúakkal
középkorúakkal	együtt
együtt	,
,	hogy
hogy	segédmunkás
segédmunkás	lehessen
lehessen	építkezésen
építkezésen	,
,	vasútnál
vasútnál	,
,	bányában
bányában	,
,	autóbuszüzemben
autóbuszüzemben	.
.	Bejárók
Bejárók	lettek
lettek	,
,	és
és	nem
nem	hagyták
hagyták	el
el	a
a	megye
megye	területét
területét	vagy
vagy	a
a	pesti
pesti	életbe
életbe	belekóstolva
belekóstolva	visszajöttek
visszajöttek	közelebbi
közelebbi	munkahelyekre
munkahelyekre	.
.	Többen
Többen	meghonosodtak
meghonosodtak	egy-egy
egy-egy	munkahelyen
munkahelyen	azzal
azzal	,
,	hogy
hogy	kitanulták
kitanulták	az
az	illetõ
illetõ	ágazat
ágazat	valamelyik
valamelyik	szakmáját
szakmáját	,
,	forgalmisták
forgalmisták	lettek
lettek	,
,	sofõrök
sofõrök	,
,	villanyszerelõk
villanyszerelõk	.
.	Mások
Mások	minden
minden	biztató
biztató	jelre
jelre	hazajönnének
hazajönnének	,
,	mint
mint	ahogy
ahogy	távolabbi
távolabbi	vállalatoktól
vállalatoktól	és
és	üzemektõl
üzemektõl	már
már	huszonhárman
huszonhárman	helyezkedtek
helyezkedtek	el
el	közelebb
közelebb	,
,	a
a	szomszéd
szomszéd	falu
falu	mezõgazdasági
mezõgazdasági	gépjavítójában
gépjavítójában	,
,	s
s	éppen
éppen	ez
ez	év
év	tavaszán
tavaszán	betonlap-üzemet
betonlap-üzemet	létesítettek
létesítettek	ugyanott
ugyanott	;
;	a
a	hírek
hírek	szerint
szerint	néhányan
néhányan	inkább
inkább	ott
ott	szeretnének
szeretnének	dolgozni
dolgozni	,
,	mint
mint	eljárni
eljárni	30-40
30-40	km-re
km-re	.
.	Egyedül
Egyedül	a
a	politika
politika	az
az	,
,	amelyben
amelyben	vágyaik
vágyaik	teljesülését
teljesülését	látják
látják	,
,	hiszen
hiszen	most
most	is
is	,
,	a
a	téesz
téesz	vonatkozásában
vonatkozásában	,
,	mintha
mintha	a
a	rajtuk
rajtuk	kívül
kívül	álló
álló	erõk
erõk	következtében
következtében	jutottak
jutottak	volna
volna	ebbe
ebbe	a
a	rossz
rossz	állapotba
állapotba	,
,	s
s	valahogy
valahogy	úgy
úgy	is
is	tapasztalták
tapasztalták	,
,	hogy
hogy	mindig
mindig	a
a	külsõ
külsõ	hatalmak
hatalmak	miatt
miatt	rossz
rossz	vagy
vagy	jó
jó	a
a	helyzetük
helyzetük	,
,	mert
mert	õk
õk	mindent
mindent	megtesznek
megtesznek	,
,	legtöbbet
legtöbbet	dolgoznak
dolgoznak	a
a	világon
világon	,
,	s
s	ezáltal
ezáltal	föl
föl	is
is	menthetik
menthetik	magukat
magukat	sorsuk
sorsuk	nehéz
nehéz	napjaiban
napjaiban	.
.	A
A	falu
falu	mindig
mindig	nyitott
nyitott	volt
volt	a
a	politika
politika	felé
felé	,
,	úgy
úgy	is
is	mondhatnánk
mondhatnánk	,
,	hogy
hogy	a
a	politika
politika	adta
adta	neki
neki	a
a	legtöbb
legtöbb	ismeretet
ismeretet	a
a	világról
világról	.
.	Bár
Bár	a
a	felszabadulás
felszabadulás	elõtt
elõtt	csak
csak	20
20	újság
újság	járt
járt	,
,	és
és	15
15	rádiótulajdonos
rádiótulajdonos	volt
volt	a
a	faluban
faluban	,
,	már
már	akkor
akkor	is
is	megvolt
megvolt	a
a	módja
módja	a
a	hírek
hírek	továbbításának
továbbításának	,
,	annak
annak	a
a	15-20
15-20	politikus
politikus	hajlamú
hajlamú	embernek
embernek	a
a	segítségével
segítségével	,
,	akik
akik	elsõként
elsõként	szereztek
szereztek	tudomást
tudomást	azokról
azokról	.
.	Politikusságukra
Politikusságukra	jellemzõ
jellemzõ	,
,	hogy
hogy	a
a	felszabadulás
felszabadulás	utáni
utáni	pezsgésben
